,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N,D6C,D6N
0,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil e Unidade da Federação (Código),Brasil e Unidade da Federação,Variável (Código),Variável,Trimestre (Código),Trimestre,Referência temporal (Código),Referência temporal,Tipo de rebanho bovino (Código),Tipo de rebanho bovino,Tipo de inspeção (Código),Tipo de inspeção
101,1,Brasil,2,Percentual,94.12,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,55,Bois,118225,Total
102,1,Brasil,2,Percentual,17.01,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,55,Bois,111737,Federal
103,1,Brasil,2,Percentual,34.02,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,55,Bois,111738,Estadual
104,1,Brasil,2,Percentual,43.10,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,55,Bois,111739,Municipal
105,1,Brasil,2,Percentual,92.25,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,56,Vacas,118225,Total
106,1,Brasil,2,Percentual,16.83,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,56,Vacas,111737,Federal
107,1,Brasil,2,Percentual,33.48,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,56,Vacas,111738,Estadual
108,1,Brasil,2,Percentual,41.94,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,56,Vacas,111739,Municipal
109,1,Brasil,2,Percentual,37.58,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111734,Novilhos,118225,Total
110,1,Brasil,2,Percentual,3.12,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111734,Novilhos,111737,Federal
111,1,Brasil,2,Percentual,11.22,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111734,Novilhos,111738,Estadual
112,1,Brasil,2,Percentual,23.24,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111734,Novilhos,111739,Municipal
113,1,Brasil,2,Percentual,52.54,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111735,Novilhas,118225,Total
114,1,Brasil,2,Percentual,9.80,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111735,Novilhas,111737,Federal
115,1,Brasil,2,Percentual,16.83,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111735,Novilhas,111738,Estadual
116,1,Brasil,2,Percentual,25.91,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,111735,Novilhas,111739,Municipal
117,1,Brasil,2,Percentual,...,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,57,Vitelos e vitelas,118225,Total
118,1,Brasil,2,Percentual,...,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,57,Vitelos e vitelas,111737,Federal
119,1,Brasil,2,Percentual,...,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,57,Vitelos e vitelas,111738,Estadual
120,1,Brasil,2,Percentual,...,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre,57,Vitelos e vitelas,111739,Municipal
121,1,Brasil,2,Percentual,100.00,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,992,Total,118225,Total
122,1,Brasil,2,Percentual,17.28,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,992,Total,111737,Federal
123,1,Brasil,2,Percentual,36.24,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,992,Total,111738,Estadual
124,1,Brasil,2,Percentual,46.48,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,992,Total,111739,Municipal
125,1,Brasil,2,Percentual,94.12,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,55,Bois,118225,Total
126,1,Brasil,2,Percentual,17.01,1,Brasil,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês,55,Bois,111737,Federal
