,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
116,3,Unidade da Federação,2,%,3.66,17,Tocantins,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
117,3,Unidade da Federação,2,%,3.44,17,Tocantins,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
118,3,Unidade da Federação,38,Reais,1939.84,21,Maranhão,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
119,3,Unidade da Federação,38,Reais,1113.09,21,Maranhão,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
120,3,Unidade da Federação,38,Reais,826.75,21,Maranhão,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
121,3,Unidade da Federação,30,Número-índice,1022.34,21,Maranhão,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
122,3,Unidade da Federação,30,Número-índice,766.04,21,Maranhão,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
123,3,Unidade da Federação,30,Número-índice,2045.56,21,Maranhão,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
124,3,Unidade da Federação,2,%,0.43,21,Maranhão,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
125,3,Unidade da Federação,2,%,5.09,21,Maranhão,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
126,3,Unidade da Federação,2,%,5.67,21,Maranhão,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
127,3,Unidade da Federação,38,Reais,1869.82,22,Piauí,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
128,3,Unidade da Federação,38,Reais,1085.26,22,Piauí,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
129,3,Unidade da Federação,38,Reais,784.56,22,Piauí,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
130,3,Unidade da Federação,30,Número-índice,1242.54,22,Piauí,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
131,3,Unidade da Federação,30,Número-índice,982.94,22,Piauí,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
132,3,Unidade da Federação,30,Número-índice,2066.53,22,Piauí,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
133,3,Unidade da Federação,2,%,0.11,22,Piauí,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
134,3,Unidade da Federação,2,%,4.10,22,Piauí,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
135,3,Unidade da Federação,2,%,6.14,22,Piauí,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
136,3,Unidade da Federação,38,Reais,1891.57,23,Ceará,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
137,3,Unidade da Federação,38,Reais,1107.49,23,Ceará,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
138,3,Unidade da Federação,38,Reais,784.08,23,Ceará,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
139,3,Unidade da Federação,30,Número-índice,1091.75,23,Ceará,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
140,3,Unidade da Federação,30,Número-índice,890.92,23,Ceará,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
141,3,Unidade da Federação,30,Número-índice,1774.56,23,Ceará,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
142,3,Unidade da Federação,2,%,0.32,23,Ceará,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
143,3,Unidade da Federação,2,%,7.32,23,Ceará,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
144,3,Unidade da Federação,2,%,7.37,23,Ceará,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
145,3,Unidade da Federação,38,Reais,1853.86,24,Rio Grande do Norte,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
146,3,Unidade da Federação,38,Reais,1055.25,24,Rio Grande do Norte,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
147,3,Unidade da Federação,38,Reais,798.61,24,Rio Grande do Norte,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
148,3,Unidade da Federação,30,Número-índice,934.37,24,Rio Grande do Norte,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
149,3,Unidade da Federação,30,Número-índice,744.99,24,Rio Grande do Norte,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
150,3,Unidade da Federação,30,Número-índice,1486.27,24,Rio Grande do Norte,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
151,3,Unidade da Federação,2,%,0.08,24,Rio Grande do Norte,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
152,3,Unidade da Federação,2,%,3.84,24,Rio Grande do Norte,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
153,3,Unidade da Federação,2,%,3.84,24,Rio Grande do Norte,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
154,3,Unidade da Federação,38,Reais,1950.13,25,Paraíba,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
155,3,Unidade da Federação,38,Reais,1100.29,25,Paraíba,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
156,3,Unidade da Federação,38,Reais,849.84,25,Paraíba,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
157,3,Unidade da Federação,30,Número-índice,1078.34,25,Paraíba,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
158,3,Unidade da Federação,30,Número-índice,874.85,25,Paraíba,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
159,3,Unidade da Federação,30,Número-índice,1659.03,25,Paraíba,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
160,3,Unidade da Federação,2,%,0.11,25,Paraíba,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
161,3,Unidade da Federação,2,%,6.46,25,Paraíba,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
162,3,Unidade da Federação,2,%,6.57,25,Paraíba,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
163,3,Unidade da Federação,38,Reais,1780.78,26,Pernambuco,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
164,3,Unidade da Federação,38,Reais,973.12,26,Pernambuco,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
165,3,Unidade da Federação,38,Reais,807.66,26,Pernambuco,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
166,3,Unidade da Federação,30,Número-índice,952.52,26,Pernambuco,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
167,3,Unidade da Federação,30,Número-índice,725.41,26,Pernambuco,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
168,3,Unidade da Federação,30,Número-índice,1613.49,26,Pernambuco,9332,"Custo médio m² - componente mão-de-obra - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
169,3,Unidade da Federação,2,%,0.03,26,Pernambuco,9333,"Custo médio m² - variação percentual no mês, sem desoneração da folha de pagamento",202511,novembro 2025
170,3,Unidade da Federação,2,%,4.70,26,Pernambuco,9334,"Custo médio m² - variação percentual no ano, sem desoneração da folha de pagamento",202511,novembro 2025
171,3,Unidade da Federação,2,%,4.71,26,Pernambuco,9335,"Custo médio m² - variação percentual em doze meses, sem desoneração da folha de pagamento",202511,novembro 2025
172,3,Unidade da Federação,38,Reais,1823.37,27,Alagoas,9327,"Custo médio m² - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
173,3,Unidade da Federação,38,Reais,1032.05,27,Alagoas,9328,"Custo médio m² - componente material - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
174,3,Unidade da Federação,38,Reais,791.32,27,Alagoas,9329,"Custo médio m² - componente mão-de-obra - moeda corrente, sem desoneração da folha de pagamento",202511,novembro 2025
175,3,Unidade da Federação,30,Número-índice,911.39,27,Alagoas,9330,"Custo médio m² - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
176,3,Unidade da Federação,30,Número-índice,763.87,27,Alagoas,9331,"Custo médio m² - componente material - número-índice, sem desoneração da folha de pagamento",202511,novembro 2025
