,NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
116,3,Unidade da Federação,1020,Unidades,...,14,Roraima,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115235,No 3º mês
117,3,Unidade da Federação,2,Percentual,...,14,Roraima,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115236,Total do trimestre
118,3,Unidade da Federação,2,Percentual,...,14,Roraima,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115233,No 1º mês
119,3,Unidade da Federação,2,Percentual,...,14,Roraima,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115234,No 2º mês
120,3,Unidade da Federação,2,Percentual,...,14,Roraima,1002417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento - percentual do total geral",202503,3º trimestre 2025,115235,No 3º mês
121,3,Unidade da Federação,1020,Unidades,3,15,Pará,151,Número de informantes,202503,3º trimestre 2025,115236,Total do trimestre
122,3,Unidade da Federação,1020,Unidades,3,15,Pará,151,Número de informantes,202503,3º trimestre 2025,115233,No 1º mês
123,3,Unidade da Federação,1020,Unidades,3,15,Pará,151,Número de informantes,202503,3º trimestre 2025,115234,No 2º mês
124,3,Unidade da Federação,1020,Unidades,3,15,Pará,151,Número de informantes,202503,3º trimestre 2025,115235,No 3º mês
125,3,Unidade da Federação,2,Percentual,100.00,15,Pará,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
126,3,Unidade da Federação,2,Percentual,100.00,15,Pará,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
127,3,Unidade da Federação,2,Percentual,100.00,15,Pará,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
128,3,Unidade da Federação,2,Percentual,100.00,15,Pará,1000151,Número de informantes - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
129,3,Unidade da Federação,1020,Unidades,-,15,Pará,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115236,Total do trimestre
130,3,Unidade da Federação,1020,Unidades,-,15,Pará,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115233,No 1º mês
131,3,Unidade da Federação,1020,Unidades,-,15,Pará,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115234,No 2º mês
132,3,Unidade da Federação,1020,Unidades,-,15,Pará,623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento,202503,3º trimestre 2025,115235,No 3º mês
133,3,Unidade da Federação,2,Percentual,-,15,Pará,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115236,Total do trimestre
134,3,Unidade da Federação,2,Percentual,-,15,Pará,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115233,No 1º mês
135,3,Unidade da Federação,2,Percentual,-,15,Pará,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115234,No 2º mês
136,3,Unidade da Federação,2,Percentual,-,15,Pará,1000623,Quantidade de couro cru inteiro de bovino recebido de terceiros para curtimento - percentual do total geral,202503,3º trimestre 2025,115235,No 3º mês
137,3,Unidade da Federação,1020,Unidades,827215,15,Pará,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115236,Total do trimestre
138,3,Unidade da Federação,1020,Unidades,286783,15,Pará,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115233,No 1º mês
139,3,Unidade da Federação,1020,Unidades,270261,15,Pará,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115234,No 2º mês
140,3,Unidade da Federação,1020,Unidades,270171,15,Pará,2417,"Quantidade total de couro cru inteiro de bovino, adquirido e recebido de terceiros para curtimento",202503,3º trimestre 2025,115235,No 3º mês
